0,0
0,0
0,0
0,0
0,0
0,0
0,0
-7.939484,0.01349
-4.960734,-6.198928
1.75355,-7.743427
7.147375,-3.456967
7.159081,3.432659
1.779853,7.737423
-4.939641,6.21575
-13.417635,5.005031
-12.278849,-7.369744
-1.893839,-14.194951
9.91727,-10.331071
14.260473,1.312317
7.865249,11.967503
-4.452668,13.610915
-12.809944,12.786052
-17.983408,-2.043244
-9.614999,-15.333937
5.993701,-17.077862
17.089021,-5.961809
15.31596,9.643608
2.009669,17.987191
-8.269638,19.214241
-20.178334,5.51442
-16.892332,-12.337872
-0.88606,-20.899495
15.787433,-13.723372
20.572668,3.78673
9.866264,18.445347
-1.493765,23.259662
-19.116483,13.334289
-22.3441,-6.632075
-8.746153,-21.604352
11.437825,-20.308111
23.008888,-3.719448
17.253789,15.670035
6.279059,24.688145
-15.38704,20.301973
-25.466384,0.628001
-16.369022,-19.518869
5.054548,-24.967632
22.67194,-11.615259
23.216899,10.483641
14.119249,23.635952
-9.676124,25.775649
-26.185178,8.505756
-22.97626,-15.169145
-2.465749,-27.42137
19.901521,-19.024745
27.28254,3.697902
21.362409,20.441518
-2.662578,29.446882
-24.68259,16.278143
-28.116108,-9.148369
-10.377623,-27.685973
15.175423,-25.375475
29.301067,-3.956726
27.592577,15.548782
5.047163,31.267252
-21.298867,23.440844
-31.606417,-2.036998
-18.113689,-25.980939
9.019015,-30.360703
29.360218,-11.878239
32.659977,9.451237
12.973888,31.427348
-16.481803,29.738026
-33.526361,5.655363
-25.324885,-22.685903
1.946746,-33.944222
27.752437,-19.641849
